[Starting] Opening the serial port - COM14
[Info] Opened the serial port - COM14
---BEGIN---
TIME	INPUT	OUTPUT	TS	GRADIENT
157802	1	217.00	253	0.00
158054	1	216.50	252	-0.00
158307	1	217.75	253	0.00
158560	1	218.25	253	0.00
158812	1	218.50	252	0.00
159065	1	219.00	253	0.00
159318	1	219.25	253	0.00
159569	1	219.75	251	0.00
159822	1	220.00	253	0.00
160075	1	220.25	253	0.00
160327	1	220.50	252	0.00
160580	1	220.75	253	0.00
160832	1	221.00	252	0.00
161085	1	221.75	253	0.00
161338	1	222.25	253	0.00
161590	1	222.25	252	0.00
161843	1	223.00	253	0.00
162095	1	223.25	252	0.00
162348	1	223.50	253	0.00
162600	1	224.00	252	0.00
162852	1	224.25	252	0.00
163105	1	224.75	253	0.00
163358	1	225.25	253	0.00
163610	1	225.50	252	0.00
163863	1	225.75	253	0.00
164116	1	225.75	253	0.00
164368	1	226.25	252	0.00
164621	1	226.75	253	0.00
164873	1	227.25	252	0.00
165126	1	227.75	253	0.00
165379	1	228.00	253	0.00
165630	1	228.50	251	0.00
165883	1	228.75	253	0.00
166135	1	229.25	252	0.00
166388	1	229.75	253	0.00
166641	1	229.75	253	0.00
166893	1	230.00	252	0.00
167146	1	230.75	253	0.00
167399	1	231.00	253	0.00
167651	1	231.50	252	0.00
167904	1	231.75	253	0.00
168156	1	231.75	252	0.00
168409	1	232.75	253	0.00
168662	1	232.75	253	0.00
168913	1	233.25	251	0.00
169166	1	233.50	253	0.00
169419	1	233.75	253	0.00
169671	1	234.25	252	0.00
169924	1	234.75	253	0.00
170176	1	235.25	252	0.00
170429	1	235.50	253	0.00
170682	1	235.75	253	0.00
170934	1	236.25	252	0.00
171187	1	236.75	253	0.00
171440	1	237.00	253	0.00
171692	1	237.25	252	0.00
171944	1	237.50	252	0.00
172196	1	238.25	252	0.00
172449	1	238.25	253	0.00
172702	1	238.75	253	0.00
172954	1	239.25	252	0.00
173207	1	239.25	253	0.00
173460	1	239.75	253	0.00
173712	1	240.00	252	0.00
173965	1	240.50	253	0.00
174217	1	241.00	252	0.00
174470	1	241.25	253	0.00
174723	1	241.25	253	0.00
174974	1	241.75	251	0.00
175227	1	241.75	253	0.00
175480	1	242.75	253	0.00
175732	1	243.00	252	0.00
175985	1	243.25	253	0.00
176237	1	243.25	252	0.00
176490	1	244.25	253	0.00
176743	1	244.00	253	-0.00
176995	1	244.25	252	0.00
177248	1	245.25	253	0.00
177501	1	245.50	253	0.00
177753	1	245.75	252	0.00
178006	1	246.25	253	0.00
178257	1	246.25	251	0.00
178510	1	246.75	253	0.00
178763	1	247.25	253	0.00
179015	1	247.50	252	0.00
179268	1	247.25	253	-0.00
179521	1	248.25	253	0.00
179773	1	248.75	252	0.00
180026	1	249.25	253	0.00
180278	1	249.50	252	0.00
180531	1	249.25	253	-0.00
180784	1	250.25	253	0.00
181036	1	250.00	252	-0.00
181288	1	250.50	252	0.00
181541	1	251.00	253	0.00
181793	1	251.50	252	0.00
182046	1	251.50	253	0.00
182298	1	252.25	252	0.00
182551	1	252.00	253	-0.00
182804	1	252.75	253	0.00
183056	1	253.00	252	0.00
183309	1	253.25	253	0.00
183562	1	253.75	253	0.00
183814	1	254.25	252	0.00
184067	1	254.00	253	-0.00
184318	1	254.75	251	0.00
184571	1	255.25	253	0.00
184824	1	255.50	253	0.00
185076	1	255.75	252	0.00
185329	1	255.50	253	-0.00
185582	1	256.25	253	0.00
185834	1	256.50	252	0.00
186087	1	257.50	253	0.00
186339	1	257.50	252	0.00
186592	1	257.75	253	0.00
186845	1	258.25	253	0.00
187097	1	258.25	252	0.00
187350	1	258.75	253	0.00
187602	1	259.25	252	0.00
187854	1	259.50	252	0.00
188107	1	260.00	253	0.00
188359	1	260.25	252	0.00
188612	1	260.50	253	0.00
188865	1	261.00	253	0.00
189117	1	261.00	252	0.00
189370	1	262.00	253	0.00
189623	1	262.50	253	0.00
189875	1	262.75	252	0.00
190128	1	262.75	253	0.00
190380	1	262.50	252	-0.00
190632	1	263.50	252	0.00
190885	1	264.00	253	0.00
191137	1	264.25	252	0.00
191390	1	264.25	253	0.00
191642	1	264.50	252	0.00
191895	1	265.25	253	0.00
192148	1	265.50	253	0.00
192400	1	266.00	252	0.00
192653	1	266.25	253	0.00
192906	1	266.25	253	0.00
193158	1	266.75	252	0.00
193411	1	267.25	253	0.00
193664	1	266.75	253	-0.00
193915	1	267.50	251	0.00
194168	1	268.00	253	0.00
194420	1	268.50	252	0.00
194673	1	268.25	253	-0.00
194926	1	269.25	253	0.00
195178	1	269.50	252	0.00
195431	1	270.00	253	0.00
195684	1	270.50	253	0.00
195936	1	270.50	252	0.00
196189	1	270.75	253	0.00
196441	1	271.00	252	0.00
196694	1	271.00	253	0.00
196946	1	271.25	252	0.00
197198	1	272.00	252	0.00
197451	1	272.00	253	0.00
197703	1	272.50	252	0.00
197956	1	272.75	253	0.00
198209	1	273.50	253	0.00
198461	1	273.50	252	0.00
198714	1	274.00	253	0.00
198967	1	274.25	253	0.00
199219	1	274.75	252	0.00
199472	1	275.25	253	0.00
199725	1	275.50	253	0.00
199976	1	275.50	251	0.00
200229	1	276.00	253	0.00
200481	1	276.50	252	0.00
200734	1	277.00	253	0.00
200987	1	277.00	253	0.00
201239	1	277.25	252	0.00
201492	1	277.50	253	0.00
201744	1	278.00	252	0.00
201997	1	278.00	253	0.00
202250	1	278.00	253	0.00
202502	1	279.25	252	0.00
202755	1	279.50	253	0.00
203008	1	279.25	253	-0.00
203259	1	279.50	251	0.00
203512	1	280.25	253	0.00
203764	1	280.75	252	0.00
204017	1	280.00	253	-0.00
204270	1	280.50	253	0.00
204522	1	281.00	252	0.00
204775	1	281.25	253	0.00
205028	1	281.50	253	0.00
205280	1	282.50	252	0.00
205533	1	282.50	253	0.00
205785	1	282.75	252	0.00
206038	1	282.75	253	0.00
206290	1	283.25	252	0.00
206542	1	284.25	252	0.00
206795	1	284.50	253	0.00
207048	1	284.50	253	0.00
207300	1	284.75	252	0.00
207553	1	285.00	253	0.00
207805	1	285.50	252	0.00
208058	1	285.25	253	-0.00
208311	1	286.00	253	0.00
208563	1	286.25	252	0.00
208816	1	287.00	253	0.00
209069	1	287.00	253	0.00
209320	1	287.25	251	0.00
209573	1	287.50	253	0.00
209825	1	288.25	252	0.00
210078	1	288.25	253	0.00
210331	1	288.50	253	0.00
210583	1	288.75	252	0.00
210836	1	289.25	253	0.00
211089	1	289.25	253	0.00
211341	1	289.25	252	0.00
211594	1	290.00	253	0.00
211846	1	290.50	252	0.00
212099	1	290.75	253	0.00
212352	1	291.00	253	0.00
212603	1	291.25	251	0.00
212856	1	291.75	253	0.00
213108	1	292.00	252	0.00
